distcode,districtname,g3_8_ela,g3_8_math,g3_8_all_subjects,year,period
4001,Richland 01,43.06666666666666,30.166666666666668,36.61666666666667,2023,pre_ban
4002,Richland 02,49.33333333333333,39.13333333333333,44.233333333333334,2023,pre_ban
4101,Saluda 01,39.583333333333336,27.21666666666667,33.400000000000006,2023,pre_ban
4201,Spartanburg 01,54.3,49.78333333333333,52.041666666666664,2023,pre_ban
4202,Spartanburg 02,59.016666666666666,50.733333333333334,54.875,2023,pre_ban
4203,Spartanburg 03,54.55,51.05,52.8,2023,pre_ban
4204,Spartanburg 04,52.15,48.88333333333333,50.516666666666666,2023,pre_ban
4205,Spartanburg 05,55.6,48.666666666666664,52.13333333333333,2023,pre_ban
4206,Spartanburg 06,45.550000000000004,35.31666666666666,40.43333333333334,2023,pre_ban
4207,Spartanburg 07,50.43333333333334,39.833333333333336,45.13333333333334,2023,pre_ban
4301,Sumter 01,37,24.65,30.825,2023,pre_ban
4401,Union 01,36.983333333333334,26.7,31.84166666666667,2023,pre_ban
4501,Williamsburg 01,40.95,24.066666666666666,32.50833333333333,2023,pre_ban
4601,York 01,45.416666666666664,36.016666666666666,40.71666666666667,2023,pre_ban
4602,York 02,66.16666666666667,61.18333333333334,63.67500000000001,2023,pre_ban
4603,York 03,51.9,37.416666666666664,44.65833333333333,2023,pre_ban
4604,York 04,76.35,67.5,71.925,2023,pre_ban
4701,SC Public Charter School District,54.333333333333336,36.78333333333333,45.55833333333334,2023,pre_ban
4801,Charter Institute at Erskine,51.38333333333333,29.233333333333334,40.30833333333334,2023,pre_ban
4901,Limestone Charter Association,54.666666666666664,37.78333333333333,46.224999999999994,2023,pre_ban
5207,Deaf & Blind School,NA,NA,NA,2023,pre_ban
5208,Dept Of Juvenile Jun12,26.2,NA,NA,2023,pre_ban
0160,Abbeville 60,56.6,51.06666666666666,53.83333333333333,2024,pre_ban
0201,Aiken 01,49.88333333333333,32.9,41.391666666666666,2024,pre_ban
0301,Allendale 01,39.5,27.566666666666666,33.53333333333333,2024,pre_ban
0401,Anderson 01,68.05,60.2,64.125,2024,pre_ban
0402,Anderson 02,60.733333333333334,52.766666666666666,56.75,2024,pre_ban
0403,Anderson 03,65.68333333333334,56.016666666666666,60.85,2024,pre_ban
0404,Anderson 04,68.98333333333333,59.916666666666664,64.45,2024,pre_ban
0405,Anderson 05,55.2,46.733333333333334,50.96666666666667,2024,pre_ban
0503,Bamberg 03,39.86666666666667,28.75,34.30833333333334,2024,pre_ban
0645,Barnwell 45,40.28333333333333,30.683333333333334,35.483333333333334,2024,pre_ban
0648,Barnwell 48,38.233333333333334,31.65,34.94166666666666,2024,pre_ban
0701,Beaufort 01,53.4,42.833333333333336,48.11666666666667,2024,pre_ban
0801,Berkeley 01,50.75,33.96666666666667,42.358333333333334,2024,pre_ban
0901,Calhoun 01,43.2,24.05,33.625,2024,pre_ban
1001,Charleston 01,61.2,52.016666666666666,56.608333333333334,2024,pre_ban
1101,Cherokee 01,39.25,26.166666666666664,32.70833333333333,2024,pre_ban
1201,Chester 01,44.25,29.8,37.025,2024,pre_ban
1301,Chesterfield 01,38.75,25.483333333333334,32.11666666666667,2024,pre_ban
1406,Clarendon 06,46.43333333333334,38.06666666666667,42.25,2024,pre_ban
1501,Colleton 01,31.933333333333334,17.683333333333334,24.808333333333334,2024,pre_ban
1601,Darlington 01,43.733333333333334,34.516666666666666,39.125,2024,pre_ban
1703,Dillon 03,51.85,39.333333333333336,45.59166666666667,2024,pre_ban
1704,Dillon 04,37.71666666666667,23.066666666666666,30.391666666666666,2024,pre_ban
1802,Dorchester 02,59.416666666666664,45.71666666666667,52.56666666666666,2024,pre_ban
1804,Dorchester 04,40.68333333333334,28.883333333333333,34.78333333333333,2024,pre_ban
1901,Edgefield 01,49.483333333333334,32.91666666666667,41.2,2024,pre_ban
2001,Fairfield 01,44.06666666666666,32.233333333333334,38.15,2024,pre_ban
2101,Florence 01,52,40.68333333333333,46.34166666666667,2024,pre_ban
2102,Florence 02,42.55,33.18333333333333,37.86666666666666,2024,pre_ban
2103,Florence 03,43.03333333333333,24.75,33.891666666666666,2024,pre_ban
2105,Florence 05,51.68333333333334,38.583333333333336,45.13333333333334,2024,pre_ban
2201,Georgetown 01,47.05,37.016666666666666,42.03333333333333,2024,pre_ban
2301,Greenville 01,59.75,51.63333333333333,55.69166666666666,2024,pre_ban
2450,Greenwood 50,53.8,43.36666666666667,48.58333333333333,2024,pre_ban
2451,Greenwood 51,50.583333333333336,40.46666666666667,45.525000000000006,2024,pre_ban
2452,Greenwood 52,66.43333333333334,59.36666666666667,62.900000000000006,2024,pre_ban
2503,Hampton,52.71666666666667,34.5,43.608333333333334,2024,pre_ban
2601,Horry 01,60.083333333333336,49.766666666666666,54.925,2024,pre_ban
2701,Jasper 01,28.133333333333333,18.166666666666668,23.15,2024,pre_ban
2801,Kershaw 01,49.166666666666664,37.3,43.233333333333334,2024,pre_ban
2901,Lancaster 01,55.71666666666667,50.9,53.30833333333334,2024,pre_ban
3055,Laurens 55,36.71666666666667,26.016666666666666,31.366666666666667,2024,pre_ban
3056,Laurens 56,47.3,40.28333333333333,43.791666666666664,2024,pre_ban
3101,Lee 01,31.933333333333334,20.439999999999998,26.186666666666667,2024,pre_ban
3201,Lexington 01,58.85,48.06666666666666,53.45833333333333,2024,pre_ban
3202,Lexington 02,37.78333333333333,28.6,33.19166666666666,2024,pre_ban
3203,Lexington 03,38.5,32.71666666666667,35.608333333333334,2024,pre_ban
3204,Lexington 04,35.2,25.466666666666665,30.333333333333336,2024,pre_ban
3205,Lexington 05,60.016666666666666,47.95,53.983333333333334,2024,pre_ban
3301,McCormick 01,37.81666666666667,20.25,29.033333333333335,2024,pre_ban
3410,Marion 10,28.333333333333332,13.983333333333334,21.15833333333333,2024,pre_ban
3501,Marlboro 01,31.75,20.083333333333336,25.916666666666668,2024,pre_ban
3601,Newberry 01,47.11666666666667,36.583333333333336,41.85,2024,pre_ban
3701,Oconee 01,50.9,44.1,47.5,2024,pre_ban
3809,Orangeburg,33.78333333333333,22.1,27.941666666666666,2024,pre_ban
3901,Pickens 01,58.083333333333336,47.35,52.71666666666667,2024,pre_ban
4001,Richland 01,43.56666666666666,30.666666666666668,37.11666666666667,2024,pre_ban
4002,Richland 02,49.83333333333333,39.63333333333333,44.733333333333334,2024,pre_ban
4101,Saluda 01,40.083333333333336,27.71666666666667,33.900000000000006,2024,pre_ban
4201,Spartanburg 01,54.8,50.28333333333333,52.541666666666664,2024,pre_ban
4202,Spartanburg 02,59.516666666666666,51.233333333333334,55.375,2024,pre_ban
4203,Spartanburg 03,55.05,51.55,53.3,2024,pre_ban
4204,Spartanburg 04,52.65,49.38333333333333,51.016666666666666,2024,pre_ban
4205,Spartanburg 05,56.1,49.166666666666664,52.63333333333333,2024,pre_ban
4206,Spartanburg 06,46.050000000000004,35.81666666666666,40.93333333333334,2024,pre_ban
4207,Spartanburg 07,50.93333333333334,40.333333333333336,45.63333333333334,2024,pre_ban
4301,Sumter 01,37.5,25.15,31.325,2024,pre_ban
4401,Union 01,37.483333333333334,27.2,32.34166666666667,2024,pre_ban
4501,Williamsburg 01,41.45,24.566666666666666,33.00833333333333,2024,pre_ban
4601,York 01,45.916666666666664,36.516666666666666,41.21666666666667,2024,pre_ban
4602,York 02,66.66666666666667,61.68333333333334,64.17500000000001,2024,pre_ban
4603,York 03,52.4,37.916666666666664,45.15833333333333,2024,pre_ban
4604,York 04,76.85,68,72.425,2024,pre_ban
4701,SC Public Charter School District,54.833333333333336,37.28333333333333,46.05833333333334,2024,pre_ban
4801,Charter Institute at Erskine,51.88333333333333,29.733333333333334,40.80833333333334,2024,pre_ban
4901,Limestone Charter Association,55.166666666666664,38.28333333333333,46.724999999999994,2024,pre_ban
5207,Deaf & Blind School,NA,NA,NA,2024,pre_ban
5208,Dept Of Juvenile Jun12,26.7,NA,NA,2024,pre_ban
0160,Abbeville 60,56.6,51.06666666666666,53.83333333333333,2025,post_ban
0201,Aiken 01,49.88333333333333,32.9,41.391666666666666,2025,post_ban
0301,Allendale 01,39.5,27.566666666666666,33.53333333333333,2025,post_ban
0401,Anderson 01,68.05,60.2,64.125,2025,post_ban
0402,Anderson 02,60.733333333333334,52.766666666666666,56.75,2025,post_ban
0403,Anderson 03,65.68333333333334,56.016666666666666,60.85,2025,post_ban
0404,Anderson 04,68.98333333333333,59.916666666666664,64.45,2025,post_ban
0405,Anderson 05,55.2,46.733333333333334,50.96666666666667,2025,post_ban
0503,Bamberg 03,39.86666666666667,28.75,34.30833333333334,2025,post_ban
0645,Barnwell 45,40.28333333333333,30.683333333333334,35.483333333333334,2025,post_ban
0648,Barnwell 48,38.233333333333334,31.65,34.94166666666666,2025,post_ban
0701,Beaufort 01,53.4,42.833333333333336,48.11666666666667,2025,post_ban
0801,Berkeley 01,50.75,33.96666666666667,42.358333333333334,2025,post_ban
